simetride	Simetrid
enterogastrone	Enterogastron
rise in blood-pressure	Blutdruckerhöhung|Blutdruckanstieg
high-resolution magnetic resonance imaging	hochauflösende Kernspintomographie
high-resolution MRI	hochauflösende Kernspintomographie
respirable dust	Feinstaub|lungengängiger Staub|Kolloidstaub
colloid dust	Feinstaub|lungengängiger Staub|Kolloidstaub
health system resilience	Resilienz des Gesundheitssystems
resilience	Resilienz des Gesundheitssystems
eye pad	Augenbinde
vicinity field	Nachbarfeld
mechanical calfing aid	Torsio-Geburtsgabel
aggressive	aggressiv
biomedical and health research programme	Forschungsprogramm im Bereich Biomedizin und Gesundheitswesen
accident victim	Unfallbeschädigter|Verunglückter|Unfallverletzter|Unfallbetroffener|Unfallopfer
SXT	SXT|Sulfamethoxazol-Trimethoprim
TMP/SMZ	SXT|Sulfamethoxazol-Trimethoprim
sulphamethoxazole-trimethoprim	SXT|Sulfamethoxazol-Trimethoprim
trimethoprimsulfamethoxazole	SXT|Sulfamethoxazol-Trimethoprim
Foley catheter	Foley Katheter
inoculation with fungal strains	Inokulation mit Pilzstämmen
fontanelle puncture	Fontanellenpunktion
X-unit	X-Einheit
non-allergic contact dermatitis	nicht allergisches Kontaktekzem
lufuradom	Lufuradom
immune interferon	Immun-Interferon
pattern II	Typ II Übertragungsweg
thrombin	Thrombin
coagulation factor II	Thrombin
cytoplasmic abnormality	Zytoplasma-Anomalie
anomaly of the cytoplasm	Zytoplasma-Anomalie
abnormality of the cytoplasm	Zytoplasma-Anomalie
Ad hoc Group of Experts on Feed Utilisation Matrices	"Ad-hoc-Sachverständigengruppe ""Viehfutter-Verwendungsmatrizen"""
sodium dioctylsulphosuccinate	Natriumdioctylsulfosuccinat
laboratory reagent	Reagenz fuer Laboratoriumszwecke
blood-nerve barrier	Blut-Hirn-Schranke
prifelone	Prifelon
cross-linking of fibrin monomers	Vernetzung von Fibrinmonomer
dark recovery	Dunkelreparatur
dark repair	Dunkelreparatur
dark repair mechanism	Dunkelreparatur
spontaneous recurrence of unusual somatic and visual sensations	plötzliches Wiederauftreten von ungewöhnlichen körperlichen und visuellen Empfindungen
thymotropic drugs	stimmungsverändernde Substanzen|thymotrope Substanzen
strain	Mikroorganismenstamm|Stamm|Mikrobenstamm
microbial strain	Mikroorganismenstamm|Stamm|Mikrobenstamm
exhaust air treatment	Behandlung der Abluft
pentamidine isethionate	Isethionat-Pentamidin
non-fibrous material	Nichtfasermaterial
interferon beta	Beta-Interferon|Interferon beta
pelade	Pelade
positive crossmatch	Crossmatch
mannanase	Mannanase
somatic gene therapy	somatische Gentherapie
Green Paper - Towards a Europe free from tobacco smoke: policy options at EU level	Grünbuch - Für ein rauchfreies Europa: Strategieoptionen auf EU-Ebene
Iceberg phenomenon	Eisbergphänomen
talinolol	Talinolol
institution comprising the service public hospitalier	Einrichtung die den service public hospitalier versorgen
fluazuron	Fluazuron
group medicine	Gruppenpraxis
group practice	Gruppenpraxis
collective medical practice	Gruppenpraxis
vinflunine	Vinflunin
front pointer	Frontpunktanzeiger
transferase	Transferase
isamfazone	Isamfazon
becaplermin	Becaplermin
National Welfare and Assistance Office for Workers in the Entertainment business	Staatliche Vorsorge- und Fürsorgeeinrichtung für Bühnenarbeitnehmer
petechial haemorrhage	petechiale Blutung
vision impairment	Sehbeeinträchtigung|Sehbehinderung
sight impairment	Sehbeeinträchtigung|Sehbehinderung
visual impairment	Sehbeeinträchtigung|Sehbehinderung
health certificate	Gesundheitszeugnis
prosthetist	Prothetiker
nitrogenous base	stickstoffhaltige Verbindung
nitrogen base	stickstoffhaltige Verbindung
extra-cellular enzyme	extrazelluläres Enzym
droxypropine	Droxypropin
alexin	Alexin
ketobemidone	Ketobemidon
respiration rate	Atmungsmenge|Atemrhythmus|Atemfrequenz|Respirationsrate
breathing rate	Atmungsmenge|Atemrhythmus|Atemfrequenz|Respirationsrate
dosis for the inhalation of soluble radionuclides	Dosis fuer die Inhalation loeslicher radioaktiver Stoffe|DIL
DIS	Dosis fuer die Inhalation loeslicher radioaktiver Stoffe|DIL
march foot	Marschfraktur
Workmen's Compensation (Occupational Diseases) Convention (Revised), 1934	Übereinkommen über die Entschädigung bei Berufskrankheiten (abgeänderter Wortlaut vom Jahre 1934)|Abgeändertes Übereinkommen über die Berufskrankheiten
Convention concerning Workmen's Compensation for Occupational Diseases (Revised)	Übereinkommen über die Entschädigung bei Berufskrankheiten (abgeänderter Wortlaut vom Jahre 1934)|Abgeändertes Übereinkommen über die Berufskrankheiten
anterolateral cordotomy	Chordotomie
spinothalamic cordotomy	Chordotomie
anterolateral tractotomy	Chordotomie
spinal tractotomy	Chordotomie
graphomotor aphasia	Agraphie|Schreibstörung
agraphia	Agraphie|Schreibstörung
sales packaging or primary packaging	Verkaufsverpackung oder Erstverpackung
stereotaxis	Stereotaxis|Stereotaxie
insulin aspart	Insulin aspart
Officer	Verantwortlicher
constitutional symptoms	B-Symptom
B symptoms	B-Symptom
irindalone	Irindalon
ear instrument	Instrument fuer die Ohrenheilkunde
primary pathogen	primärer Krankheitserreger
grey degeneration	Degeneratio grisea
controlled injury zone	ueberwachte Gefahrenzone
practice	Tätigkeit
obturator	Verschluss|Obturator
clinimetrics	Klinimetrics
valgization	Valgisierung
valgisation	Valgisierung
pancreatitis	Bauchspeicheldrüsenentzündung|Pancreatitis|Pankreatitis
periodic medical examination	Nachuntersuchung
hepadnavirus	Hepadnavirus
distribution of baby milk by a supermarket	Vertrieb von Säuglingsmilch im Verbrauchermarkt
medical care establishment	Krankenanstalt
chlorination to break-point	Brechpunkt-Chlorung
break-point chlorination	Brechpunkt-Chlorung
exposure	Exposition|Belastung
anaerobiosis	Anoxybiose|Anaerobiose
near vision	Nahsehen
distress	Leiden
enalkiren	Enalkiren
immuno-adesine	Immuno-adesine
haemorrhage into muscles	Muskelblutung
trend line	Trendlinie
cefixime	Cefixim
oligoarthritis	oligoarthritis
anabolic	anabol|anabolisch
laryngeal brush	Kehlkopfpinsel
cognitive	kognitiv
voice	Stimme
gadopentetic acid	Gadopentetinsäure
trans fatty acid	transisomere Fettsäure|Transfettsäure|trans-Fettsäure
trans fat	transisomere Fettsäure|Transfettsäure|trans-Fettsäure
TFA	transisomere Fettsäure|Transfettsäure|trans-Fettsäure
non-steroidal anti-inflammatory drug	nicht steroidales entzündungshemmendes Mittel|steroidfreie entzündungshemmende Arzneimittel
NSAID	nicht steroidales entzündungshemmendes Mittel|steroidfreie entzündungshemmende Arzneimittel
proctotomy	Proktotomie
germ carrier	Keimträger
germ vector	Keimträger
health care	Gesundheitswesen
pribecaine	Pribecain
flatus	Wind|Flatus|Darmwind
