radiation enterocolitis	colitis rádica
radiation enteritis	colitis rádica
ankylostoma	anquilostoma|Anquilostoma Duodenalis
ancylostoma	anquilostoma|Anquilostoma Duodenalis
hookworm	anquilostoma|Anquilostoma Duodenalis
radiopharmaceutical	radiofármaco
hexobarbital	hexobarbital
monteplase	monteplasa
lucanthone	lucantona
dyclonine	diclonina
isoprenaline	isoprenalina
sulprosal	sulprosal
sulfonterol	sulfonterol
electrochemical addressing	detección electroquímica
xenazoic acid	ácido xenazoico
chronomentrophobia	cronometrofobia
electromyography	EMG|electromiografía
EMG	EMG|electromiografía
bibrocathol	bibrocatol
antrafenine	antrafenina
imolamine	imolamina
follitropin beta	folitropina beta
hormonally associated cancer	cáncer hormonodependiente
Reproductive isolation	Aislamiento reproductivo
muscular fatigue	fatiga muscular
flattening of a curve	aplanamiento de la curva|aplanar la curva
fominoben	fominobén
cytotrophoblast	citotrofoblasto
machinery of neural processing	maquinaria de procesualización neural
lung scanning	tomografía axial computerizada por rayos X pulmonar|scanner pulmonar
oxycodone	oxicodona
osteoclastic activity	actividad osteoclástica
deferiprone	deferiprona
toliodium chloride	cloruro de toliodio
tybamate	tibamato
quinazosin	quinazosina
candicidin	candicidina
sodium phosphate (32 P)	fosfato sódico (32 P)
rifampicin	rifampicina
homoeologous chromosome	cromosoma homólogo
homeologous chromosome	cromosoma homólogo
growth-regulating signal	señal reguladora del crecimiento
lysergide	lisergida
capsule of glomerulus of kidney	cápsula de Bowman
insect artificially fed with blood with high concentrations of the virus	insecto artificialmente alimentado con sangre portadora de altas concentraciones del virus
lodiperone	lodiperona
adolescence	adolescencia
workload	carga de trabajo
transformant	transformante
oxolamine	oxolamina
dimecamine	dimecamina
Strata	Estratos
loreclezole	loreclezol
septic bursitis	bursitis séptica
sodium apolate	apolato sódico
mitotic metaphase	metafase mitótica
divergent transcription	transcripción divergente
carsatrin	carsatrina
list of varieties	catálogo de variedades
myoclonic epilepsy	epilepsia mioclónica
chromosome number	número cromosómico
erysipelas	erisipela
epitiostanol	epitiostanol
dimethicone	dimeticona
Anstie's limit	límite de Anstie
Cooper regimen	régimen de Cooper
amoxydramine camsilate	cansilato de amoxidramina
Ad hoc Group on Osteoporosis Treatment and Prevention of Osteoporosis in Women	grupo ad hoc sobre la prevención y tratamiento de la osteoporosis
seminal fluid	líquido seminal
metyrapone	metirapona
pifoxime	pifoxima
EMA Human Scientific Committees' Working Party with Patients’ and Consumers’ Organisations	Grupo de Trabajo de los Comités Científicos de Medicamentos de Uso Humano de la EMA con Organizaciones de Pacientes y Consumidores|Grupo de Trabajo de Pacientes y Consumidores
PCWP	Grupo de Trabajo de los Comités Científicos de Medicamentos de Uso Humano de la EMA con Organizaciones de Pacientes y Consumidores|Grupo de Trabajo de Pacientes y Consumidores
Patients' and Consumers' Working Party	Grupo de Trabajo de los Comités Científicos de Medicamentos de Uso Humano de la EMA con Organizaciones de Pacientes y Consumidores|Grupo de Trabajo de Pacientes y Consumidores
propikacin	propikacina
timirdine	timirdina
motor alexia	alexia motora
high altitude climate therapy	cura de altitud
stability during continuous cultivation	estabilidad en cultivo continuo
enolic acid derivates	derivado del ácido enólico
isomethadone	isometadona
M	morgan|M
morgan	morgan|M
cetocycline	cetociclina
razobazam	razobazam
vertebral artery	arteria vertebral
deficiency	carencia|deficiencia
Risk factor	Factor de riesgo
naranol	naranol
natural immunity	inmunidad natural
innate immunity	inmunidad natural
purulent meningitis of the newborn	meningitis bacteriana|meningitis supurada|meningitis purulenta|meningitis piógena
calcipotriol	calcipotriol
column leachable	lixiviables de columna
tonometry	tonometría
intracellular half-life	vida media intracelular
retinal microaneurysm	microaneurisma
microaneurysm	microaneurisma
oxymorphone	oximorfona
oxogestone	oxogestona
bandage	vendaje|venda
clonitazene	clonitaceno
substitution	mantenimiento|sustitución
amphenidone	amfenidona
gemcitabine	gemcitabina
ifoxetine	ifoxetina
sarilumab	sarilumab
isoflavone	isoflavona
somidobove	somidobovo
substance of high cellular toxicity	sustancia de fuerte toxicidad celular
carbocloral	carbocloral
translational retroregulation	retrorregulación de la traducción
acrocinonide	acrocinonida
classical neodarwinism	teoría sintética de la evolución
trichinophobia	triquinofobia
dacuronium bromide	bromuro de dacuronio
loss of spontaneous motion	pérdida de los movimientos espontáneos
modaline	modalina
drug-related death	muerte relacionada con las drogas|mortalidad relacionada con la droga|muertes relacionadas con la droga
agitation	agitación psicomotriz
behavioural agitation	agitación psicomotriz
behavioral agitation	agitación psicomotriz
Generation time	Tiempo de génesis
antigen-binding fragment	fragmento Fab
Fab fragment	fragmento Fab
Fab region	fragmento Fab
Fab arm	fragmento Fab
esophageal pH monitoring	pH-metría esofágica|determinación del pH esofágico
oesophageal pH monitoring	pH-metría esofágica|determinación del pH esofágico
esophageal pH test	pH-metría esofágica|determinación del pH esofágico
oesophageal pH test	pH-metría esofágica|determinación del pH esofágico
artificial selection	selección artificial
koinophobia	coinonifobia
salivary gland biopsy	biopsia de glándulas salivares|biopsia de glándulas salivales
antioxidant enzyme	enzima antioxidante
etersalate	etersalato
posttranslational carboxylation	carboxilación postranductiva
Underestimation	Subestimación
excised particle	fragmento tomado por excisión
lixazinone	lixazinona
phospholipase	fosfolipasa
Skew distribution	Distribución asimétrica
fenbufen	fenbufén
SoHO recipient	receptor de SoHO
tumor-inducing plasmid	plásmido Ti
tumour-inducing plasmid	plásmido Ti
Ti-plasmid	plásmido Ti
focal electrical stimulation	estimulación eléctrica focal
piracetam	piracetam
tesimide	tesimida
norflurane	norflurano
operation for fostering crisis response capacities in the context of the COVID-19 outbreak	operación destinada a fomentar las capacidades de respuesta a las crisis|operación destinada a fomentar las capacidades de respuesta a la crisis en el contexto del brote de COVID‐19
operation for fostering crisis response capacities	operación destinada a fomentar las capacidades de respuesta a las crisis|operación destinada a fomentar las capacidades de respuesta a la crisis en el contexto del brote de COVID‐19
azastene	azasteno
tioconazole	tioconazol
exasperation	exasperación|exacerbación
atypical mycobacteria	micobacteria atípica
post-mortem sign	signo post mortem|resultado de la inspección post mortem
post-mortem finding	signo post mortem|resultado de la inspección post mortem
sulfalene	sulfaleno
phenelzine	fenelzina
butaprost	butaprost
stratified analysis	análisis estratificado
late age at first pregnancy	demora del primer embarazo|retraso del primer embarazo
counter-analysis	segundo análisis
three-dimensional reconstruction of the brain	reconstrucción de imágenes tridimensionales del cerebro
anti-tumour substance	sustancia de actividad antitumoral
dermatologist	dermatólogo
epistaxis balloon	balón para epistaxis
propenidazole	propenidazol
Ritalin	metilfenidato
Concerta	metilfenidato
methylphenidate	metilfenidato
ex vivo	ex vivo
pharmaceutical strategy	Estrategia Farmacéutica para Europa
