health system resilience	reziliența sistemului de sănătate
resilience	reziliența sistemului de sănătate
absorption, distribution, metabolism and excretion	absorbţie, distribuţie, metabolism şi excreţie
ADME	absorbţie, distribuţie, metabolism şi excreţie
thrombin	trombină
coagulation factor II	trombină
strain	tulpină microbiană
microbial strain	tulpină microbiană
positive crossmatch	test cross-match pozitiv
petechial haemorrhage	hemoragii peteșiale
vision impairment	deficiență de vedere|deficiență vizuală
sight impairment	deficiență de vedere|deficiență vizuală
visual impairment	deficiență de vedere|deficiență vizuală
health certificate	certificat de sănătate
goldfish	caras auriu
respiration rate	frecvență respiratorie
breathing rate	frecvență respiratorie
variant	variantă genetică
genetic variant	variantă genetică
primary pathogen	agent patogen primar
practice	practică
distress	disconfort major|suferință clinică
non-steroidal anti-inflammatory drug	AINS|medicament antiinflamator nesteroidian
NSAID	AINS|medicament antiinflamator nesteroidian
amino terminus	capăt amino-terminal|terminație aminică
N-terminus	capăt amino-terminal|terminație aminică
autogamy	autogamie
within‐flower self‐pollination	autogamie
health determinant	factor determinant al sănătății|determinant al sănătății
colon	colon
blood culture	hemocultură
critical medicine	medicament esențial în contextul unor crize sanitare
histopathological neurotoxicity	neurotoxicitate histopatologică
skin corrosion in vivo	coroziune a pielii <i>in vivo</i>
International Standard Randomised Controlled Trial Number	Numărul Internațional Standard al Studiului Controlat Randomizat
pegylated	pegilat
health warning	avertisment de sănătate
deep-water catsharks	rechini-pisică de adânc
International Day of Zero Tolerance of Female Genital Mutilation	Ziua Internațională a Toleranței Zero față de Mutilarea Genitală a Femeilor
International Day Of Zero Tolerance for Female Genital Mutilation	Ziua Internațională a Toleranței Zero față de Mutilarea Genitală a Femeilor
International Day against Female Genital Mutilation	Ziua Internațională a Toleranței Zero față de Mutilarea Genitală a Femeilor
public exposure	expunere a populației
selective toxicity	toxicitate selectivă
electronic product information	informații referitoare la produs în format electronic
ePI	informații referitoare la produs în format electronic
seed stock	lot de sămânță|stoc de sămânță
virus seed	lot de sămânță|stoc de sămânță
virus seed stock	lot de sămânță|stoc de sămânță
messenger RNA	ARN mesager|ARNm
mature messenger RNA	ARN mesager|ARNm
mature mRNA	ARN mesager|ARNm
mRNA	ARN mesager|ARNm
field of vision	câmp vizual
visual field	câmp vizual
medical wearable	echipament medical portabil
medical wearable device	echipament medical portabil
wearable medical device	echipament medical portabil
occupational carcinogen	agent cancerigen profesional
monoecious	monoic
germ line	linie germinală
international toxic equivalent	echivalent toxic internațional|I-TEQ
I-TEQ	echivalent toxic internațional|I-TEQ
molecular pathogen data	date furnizate de tipizarea moleculară a patogenilor
intensive monitoring	monitorizare intensivă
intradermal injection	injecție intradermică
intracutaneous injection	injecție intradermică
neurological sign	semn neurologic
neurologic sign	semn neurologic
HOSPEEM	HOSPEEM|Asociația angajatorilor din sectorul spitalicesc și al sănătății
European Hospital and Healthcare Employers' Association	HOSPEEM|Asociația angajatorilor din sectorul spitalicesc și al sănătății
European Agreement on Mutual Assistance in the matter of Special Medical Treatments and Climatic Facilities	Acordul european privind asistența medicală în domeniul tratamentelor speciale și al resurselor termoclimatice
singe-gene resistance	rezistență monogenică
monogenic resistance	rezistență monogenică
primary cell culture	cultură de celule primare
aquatic toxicity	toxicitate acvatică
bacterial overgrowth	suprapopulare bacteriană
reprotoxin	substanță toxică pentru reproducere
reprotoxic substance	substanță toxică pentru reproducere
bronchiolitis	bronhiolită
defatting	uscăciune a pielii
clinical attack rate	rată de atac
attack rate	rată de atac
incidence proportion	rată de atac
dihydroflavonol 4-reductase	dihidroflavonol-4-reductază|DFR
DFR	dihidroflavonol-4-reductază|DFR
WSSV	virus al bolii petelor albe
<i>White spot syndrome virus I</i>	virus al bolii petelor albe
<i>White spot syndrome virus</i>	virus al bolii petelor albe
Facilitation Council	Consiliul de facilitare la nivel înalt|Consiliul de facilitare al ACT-A
